           x           y
    17.66483762  13.23301347
    20.45513888   6.61929368
    16.92341978  16.06371140
    32.54971885  26.37030261
     9.49780593  14.90191159
    28.11001854  28.08283444
    21.41277632  12.01887106
    18.30234203  16.96964192
    15.22843713  11.71890032
   21.89412785  13.58089661
    9.58825655   9.71093529
   27.56489822  26.26449921
    5.69278872   9.84203757
   14.51614297  15.34729464
    5.06505891  11.94716191
   11.99940877  13.68283308
    7.19688543   8.81574320
   16.93135595  16.32779762
   18.83487584  12.39177399
    7.08127695   5.47719680
   13.38962045  13.84349199
   17.98898416  29.02966059
   15.75116069  10.85682900
    4.52962557  20.86393200
   13.01974166  16.24663012
   11.94997721   8.89286518
   26.71645993  27.16486216
   18.36639970  20.98127102
    0.48058471  13.39887434
   24.61466285  19.45301648
   23.87022139  15.33058981
    9.08034399  16.85711445
   13.28749030  13.39717788
   23.65883298  26.75524693
   19.64903188  13.01404456
   13.87937537  20.46023398
   22.74797539  19.52053632
   16.06940514  14.16087376
   13.33617286   6.21333039
   14.43070370  23.73455626
   14.85619500  16.18246509
   11.06676566  13.03324586
   24.45443504  16.61526960
   20.83474335  14.53713938
   24.09742669  24.15822133
   -4.83598966   9.09501891
   28.92640983  19.92053014
   14.16953559  10.32093978
    7.71313691   8.03383720
   14.17413524  11.04401886
   13.11947317  19.50009986
   27.52582834  20.42285988
    6.74425638   9.55435936
   10.36732003   8.42244833
   14.12485068   6.90927940
   16.66115741  19.25612183
   24.06296084  21.45055068
   17.47262450  20.54738239
    3.30196334   9.46030896
   18.63225214  16.84863053
   12.73273175  18.95612841
   23.46370013   9.45894091
   14.99141851  18.83440953
   15.99341865  11.76970593
   14.60859888  12.52952145
   10.05465088   8.82640303
   18.68180107  23.26396268
    0.57376154   2.67039787
    6.39247471  13.41722680
   18.04941168  20.51339442
   18.56667147  16.99066209
    4.04968835  13.49344198
   23.20906948  22.05802428
   20.19251262  18.00241929
   29.13872672  21.10863666
    7.64046685  16.30120784
    6.44440455   7.15751586
    9.77870653  12.96184156
    6.16112178  14.51095673
    8.05894060  14.90137053
   28.00513728  28.69824027
   -0.02042764   4.61876391
    4.43453692   4.60765839
    1.93093541  10.84002369
   20.61450628  27.15446996
   13.43881676  14.70884613
   18.19107773  16.10889987
   11.46275605  19.30100294
   28.68042898  29.74343575
   -3.75614451   8.07815128
   17.29074592  14.56065990
   18.27066687  15.01803654
   26.94452519  17.30203057
   19.80983175  21.88676934
    9.00786752  21.57117185
   17.43771622  22.71424621
   14.14516659   6.72098690
   15.65258906  10.15836827
    7.49816000   0.26179492
   9.10299140  23.02371389
  17.25040506   9.67208399
  14.95445265  18.89293071
  15.82932408  15.72280356
   5.84109736  13.88210954
  11.71594089  -3.10371403
  19.71487564  11.22472347
  19.06879734  17.96307767
  20.56455054  11.93195286
  23.88808488  19.44333911
  19.66467002  18.52673368
   8.58353468   7.12412020
  31.09471829  24.01432467
  18.73051644  23.89490301
  15.24149981   8.02965088
  10.62305746  16.00339644
  20.76795081  15.50825390
  18.60264339  17.12395958
   8.01031826  -0.09023362
  -0.22645069   2.45651901
  20.47013483  15.83741001
   3.69790337  -0.12178369
   9.89859649  13.88787550
  12.06783533  15.34452694
  18.48258736  17.47401327
  28.19066750  18.62304837
  10.93446922  20.35714384
  13.51351365  11.33363045
   9.24688564  10.21771298
  15.67062416  21.83034445
   8.13133147  23.62725383
   5.83855505  11.24824466
  17.36063547  20.38899667
  -0.32733784   4.57418712
  15.72589620  20.76437123
  15.82309111  17.55476326
  25.80578514  27.77173013
  15.92732567  14.01399692
   7.36927195  10.78844030
   9.67756894  10.98954110
  13.20263114  16.79930396
  23.87034643  12.89337978
  18.09291516  24.75763906
  13.19269164   9.42481934
   0.40886012   5.91407146
  34.10354657  28.29232867
  12.42978698   4.91316837
  17.22524839  17.03913793
  12.08965560  12.04128648
  13.97035873  26.36656781
  18.58765796  22.9418337
