x2	y2
100.1421078	99.7709513
99.41899054	99.85045433
98.73215225	98.56946051
101.0135648	100.720339
100.4610143	99.94334899
101.0894061	101.1889929
100.0850335	99.9185888
99.52291146	99.23488788
98.08737281	97.93937018
100.2400804	100.3943445
101.6954985	101.5463447
98.05520748	98.37754686
100.5690321	100.7165602
101.3978122	101.3597992
101.5644679	101.7972246
100.3001282	100.3263871
99.82370679	99.80580722
99.17390039	99.4795659
99.63114315	99.93896129
99.34428354	99.56424517
100.106207	100.0515841
100.2499002	100.3809156
100.9828689	100.6360577
101.2397865	101.1441632
101.7014838	101.9651216
100.0272365	99.8759375
98.00867807	98.10555027
99.47072165	99.96584146
102.0318782	101.7393988
101.1940707	100.8642415
97.88424222	97.93125999
99.53305678	99.29443778
99.82701744	100.4089788
98.75785264	98.90072032
99.90610587	99.82849826
99.74006533	99.54136182
100.6662636	101.0340212
102.947063	102.8985467
99.13474509	99.27173798
97.72876339	97.5996262
100.5435195	100.5825632
98.5790028	99.03098304
98.96726542	99.65481001
100.3484624	100.334472
99.9087386	100.1909033
99.42849863	99.82368957
99.70665372	99.593812
98.87821256	98.97369019
100.8736396	100.9700776
101.4889049	101.9169591
