"x" "y" "z"
"1" 1 -0.354634362722526 0.645365637277474
"2" 2 0.969398990709214 2.96939899070921
"3" 3 -0.713854067240413 2.28614593275959
"4" 4 1.21053079370957 5.21053079370957
"5" 5 -0.282713452097660 4.71728654790234
"6" 6 -0.538971500782909 5.46102849921709
"7" 7 0.86953666502279 7.8695366650228
"8" 8 0.334629450807443 8.33462945080744
"9" 9 0.190555758019126 9.19055575801913
"10" 10 -1.74996201775135 8.25003798224865
"11" 11 0.576947430646576 11.5769474306466
"12" 12 -1.15604992189657 10.8439500781034
"13" 13 -1.65056586301567 11.3494341369843
"14" 14 -1.05757669296876 12.9424233070312
"15" 15 1.40912954195595 16.4091295419560
"16" 16 -1.92919882395861 14.0708011760414
"17" 17 -1.06841234208044 15.9315876579196
"18" 18 1.31851205431704 19.3185120543170
"19" 19 1.12997294846289 20.1299729484629
"20" 20 0.170461796030202 20.1704617960302
"21" 21 -1.28771880351161 19.7122811964884
"22" 22 0.155915578052108 22.1559155780521
"23" 23 0.734951365862271 23.7349513658623
"24" 24 -0.386910774605934 23.6130892253941
"25" 25 0.457463583837698 25.4574635838377
"26" 26 0.632257807247333 26.6322578072473
"27" 27 -2.18490790508581 24.8150920949142
"28" 28 0.99427556493092 28.9942755649309
"29" 29 0.944708892780165 29.9447088927802
"30" 30 0.0609324906008025 30.0609324906008
"31" 31 -0.0507740702825237 30.9492259297175
"32" 32 1.12063128979422 33.1206312897942
"33" 33 0.754422142772162 33.7544221427722
"34" 34 0.220822490775206 34.2208224907752
"35" 35 1.42329879003375 36.4232987900337
"36" 36 -0.0938890622554543 35.9061109377445
"37" 37 -0.182029477627640 36.8179705223724
"38" 38 0.0538358766128736 38.0538358766129
"39" 39 -0.964094266162223 38.0359057338378
"40" 40 -0.0431720806487718 39.9568279193512
"41" 41 -0.913482857828116 40.0865171421719
"42" 42 0.123432442544055 42.1234324425441
"43" 43 -1.37665660734413 41.6233433926559
"44" 44 0.0151170315668517 44.0151170315669
"45" 45 -0.000486629561313755 44.9995133704387
"46" 46 -1.44397752922193 44.5560224707781
"47" 47 0.367754877444611 47.3677548774446
"48" 48 -0.200093268384174 47.7999067316158
"49" 49 0.171937085986386 49.1719370859864
"50" 50 -0.0553739929011289 49.9446260070989
