x	y	x2	y2
100.5279716	99.16550608	100.1421078	99.7709513
100.4469625	99.9788557	99.41899054	99.85045433
98.21656996	98.4336994	98.73215225	98.56946051
101.3649441	100.2670798	101.0135648	100.720339
98.64050856	98.03419447	100.4610143	99.94334899
101.3056776	99.71955903	101.0894061	101.1889929
100.1727069	100.6671791	100.0850335	99.9185888
99.08122942	97.35813844	99.52291146	99.23488788
99.63329179	100.956771	98.08737281	97.93937018
97.83967242	99.10789107	100.2400804	100.3943445
100.0968826	99.72436824	101.6954985	101.5463447
97.45820629	98.56356842	98.05520748	98.37754686
99.13695539	99.28908898	100.5690321	100.7165602
99.40144684	100.9024462	101.3978122	101.3597992
98.70051772	98.2723895	101.5644679	101.7972246
100.1694091	99.95852629	100.3001282	100.3263871
99.87804592	98.74429853	99.82370679	99.80580722
100.9892365	100.2815192	99.17390039	99.4795659
98.47612976	101.2882884	99.63114315	99.93896129
98.71691078	100.0197157	99.34428354	99.56424517
100.6171454	101.9682545	100.106207	100.0515841
100.0895037	98.3589303	100.2499002	100.3809156
100.1259823	99.92478195	100.9828689	100.6360577
100.0921656	100.046321	101.2397865	101.1441632
99.45682101	97.73119022	101.7014838	101.9651216
99.05372731	99.65851991	100.0272365	99.8759375
99.04458337	99.39003246	98.00867807	98.10555027
101.5018385	102.294502	99.47072165	99.96584146
98.12264713	99.93590395	102.0318782	101.7393988
99.64186194	100.133828	101.1940707	100.8642415
99.22539828	100.4452922	97.88424222	97.93125999
100.5273116	97.52559629	99.53305678	99.29443778
99.64751126	101.1089471	99.82701744	100.4089788
100.8763938	100.6894999	98.75785264	98.90072032
99.09651186	100.8505286	99.90610587	99.82849826
99.49331743	100.7145464	99.74006533	99.54136182
99.45482688	100.0469567	100.6662636	101.0340212
99.2494148	100.7168991	102.947063	102.8985467
99.48669739	99.24869088	99.13474509	99.27173798
100.5646683	100.0268081	97.72876339	97.5996262
101.1338511	99.50289623	100.5435195	100.5825632
98.46252908	99.71529673	98.5790028	99.03098304
100.2313578	100.3550357	98.96726542	99.65481001
99.84274316	99.65607581	100.3484624	100.334472
99.37321962	99.381291	99.9087386	100.1909033
100.7799195	99.98250291	99.42849863	99.82368957
101.0815449	101.0306452	99.70665372	99.593812
99.91979618	100.1942067	98.87821256	98.97369019
100.7107282	102.0695241	100.8736396	100.9700776
99.95515196	99.89164359	101.4889049	101.9169591
